,0,3,6,9,12,15,18,21
289,"-3,5","-3,3","-4,1","-5,7","-2,7","-2,3","-4,1","-5,3"
290,"-2,7",1,"-5,2","-5,8","-3,2","-2,5","-3,8","-3,8"
291,"-2,2","-0,8","2,3","2,6","0,5","0,7","0,1","-2,1"
292,"-1,2","-3,8","-1,3","-2,6",-2,"-2,4","-4,3","-4,5"
293,"-4,3","0,6","-2,9","-1,1","0,6","0,6","0,3","-0,9"
294,1,"1,1","0,4","-0,3","-1,1","-1,9","-2,8","-3,9"
295,"0,8","0,3","1,2","1,4","1,4","1,3","1,5","1,3"
296,"0,4","1,4","0,8","1,5","1,8","1,3","1,8","1,3"
297,"1,4","1,6","0,9",1,"1,1","-0,5",-1,"-0,1"
298,"1,6","0,9","1,3","1,3","1,8",2,"1,9","1,6"
299,"0,4","-5,7","1,3","1,2","1,5","1,6","2,4","1,6"
300,"-7,6",-12,"-3,9","-2,7","-1,9","-2,2","-2,6","-1,9"
301,-12,-21,"-12,8",-16,"-16,1","-13,6","-13,3","-10,5"
302,"-20,7","-21,4",-23,"-23,2",-18,"-16,3","-15,1","-12,9"
303,"-17,5","-25,8","-26,1",-26,"-22,9","-19,2","-20,4","-21,5"
304,"-28,9","-15,3","-23,2","-21,9","-19,4","-17,8","-17,4","-16,8"
305,"-13,1",-10,"-17,1","-20,1","-16,5","-13,4","-21,1","-24,8"
306,"-9,3","-7,1","-10,4","-9,9","-9,5","-8,5","-10,2","-11,9"
307,"-6,3",-7,"-7,9","-8,3","-7,9","-7,5","-8,1","-8,7"
308,"-7,1","-10,1","-3,7","-0,5","0,2","-1,1","-3,6","-4,9"
309,"-14,3","-6,4","-10,1","-9,9","-9,5","-8,3",-8,"-7,7"
310,"-6,7","-6,5",-6,"-7,3","-6,8",-8,"-12,4","-15,6"
311,"-6,1",-1,"-6,9","-7,2","-6,8","-7,1","-7,1","-6,8"
312,"-0,9","0,6","-0,8",-2,"-3,2","-3,8","-4,6","-5,7"
313,"0,9","0,6","0,7","0,7",1,"0,7",0,"-0,7"
314,"0,3","-5,1","1,2","1,3","0,6","0,9","0,9",1
315,"-5,7","-7,6","-4,4","-3,9","-2,7","-1,4","-0,9",0
316,"-7,5","-2,3","-8,7",-9,"-7,9","-7,3","-7,3","-6,7"
317,"-1,6","-1,3","-2,9","-2,5","-2,6","-2,5","-3,5",-6
318,"-0,5","0,7","-2,5","-3,6","-3,1","-2,3","-1,9","-2,1"
319,"1,2","-2,6","0,1",0,"-0,2",-1,"-0,8","-0,7"
320,"-1,8","-1,1","-2,7","-1,8","-1,4","-0,7","0,2","1,2"
321,"-0,8","-5,3","-1,1","-1,4","-1,7","-2,5","-3,1","-2,4"
322,-5,"-7,8","-5,5","-5,1","-3,2","-1,6","-1,6","-1,3"
323,"-8,2","-6,1","-7,8",-8,"-7,6","-6,5","-6,3","-5,7"
324,"-5,4","-4,9","-7,8","-7,4","-5,3",-5,-7,"-8,5"
325,"-4,4","-1,3","-5,1","-4,9","-4,2",-4,"-4,9","-5,3"
326,"-1,6","-8,8","-1,7","-2,7","-1,9","-1,1","-1,9","-2,5"
327,"-9,7",-8,"-6,9","-5,1","-3,9","-2,4","-1,5","-2,1"
328,"-6,6","-9,3","-7,9","-8,7","-8,3","-9,5","-9,9","-10,1"
329,"-12,4","-9,5","-8,4","-7,9","-6,7",-6,"-5,5","-3,9"
330,"-8,7","-6,3","-10,5","-12,2",-13,-12,-15,"-16,4"
331,"-6,5","-8,5","-6,1","-6,6","-5,6","-5,8","-7,1","-8,1"
332,"-8,5","-6,8","-8,4","-8,4",-7,"-5,9","-6,3","-6,7"
333,"-6,2","-2,3","-7,9","-8,1","-6,8","-7,3","-7,8","-8,6"
334,"-1,8","0,4","-3,1","-3,9","-4,7","-5,3","-5,6","-5,5"
335,"0,4","-8,5","0,7","0,3","0,5","0,4","-0,5",-1
336,"-8,6","-6,5","-5,9","-4,8",-3,"-1,4",-1,0
337,"-6,5","-7,4","-6,3",-6,"-4,9","-4,4","-4,8","-6,9"
338,"-7,9","-11,6","-7,9","-8,2","-7,1","-6,9","-7,1",-7
339,"-10,4","-9,5","-10,9","-11,5","-7,9","-6,4","-5,9","-7,5"
340,"-8,2","-14,4","-10,1","-9,5",-7,-5,"-7,3","-8,7"
341,-12,"-10,1",-16,"-14,4","-7,2","-4,6","-6,3","-6,2"
342,"-11,7","-14,5","-12,7","-10,7","-5,9","-3,3","-7,9","-9,9"
343,"-11,3","-7,8","-15,3","-15,1",-5,"-1,9","-7,5","-10,3"
344,"-11,1","-15,6","-9,9","-13,5",-4,"-1,2","-5,3","-7,3"
345,"-12,6","-14,8","-15,3",-15,"-6,9","-1,5","-7,2","-7,5"
346,"-12,6","-12,8","-16,5","-15,8","-8,5","-5,1","-8,1","-12,4"
347,"-12,9","-12,8","-15,5","-15,1","-7,5","-4,9","-8,7","-11,5"
348,"-12,1","-12,4","-13,4","-13,5","-7,6","-4,7",-10,-12
349,"-11,5","-12,6",-13,"-13,3","-8,6","-6,9","-9,7","-10,5"
350,"-11,7","-9,1","-13,7","-13,3","-8,3","-6,4",-9,"-10,7"
351,"-8,3","-4,1","-9,8","-10,2","-5,9","-4,5","-7,3","-9,5"
